MB_SPACE_PLANET_FELUCIA_TUTORIAL;Situado en el Borde Exterior, Felucia solía ser una importante propiedad de la Federación de Comercio. Se trata de un mundo difícil de colonizar, repleto de formas de vida fungosa e inmensas plantas primitivas. La mayor parte del planeta es fétida y húmeda, con extraños bosques. Muchas de las plantas indígenas se defienden de forma agresiva. Púas afiladas, esporas tóxicas y defensas venenosas frustraron los primeros intentos de agricultura. Pese a las dificultades para asentarse, en Felucia hay algunas ciudades de interés, como Kway Teow, Har Gau y Niango. Felucia se ha convertido en un exótico retiro para los ricos y los ciudadanos malpagados que atienden a sus extravagantes caprichos. 
MB_SPACE_PLANET_FONDOR_PIRACY;Hay varias estaciones espaciales que orbitan Fondor. Al destruir una de ellas, estableceremos la presencia del Consorcio Zann en el mundo cercano. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo.  
MB_SPACE_PLANET_KESSEL_PIRACY;El mundo de Kessel es conocido por sus prisiones políticas, que requieren enormes satélites de comunicación para mantenerlas en funcionamiento. Esos satélites son débiles ante un ataque furtivo de los saboteadores. Si los controlamos, engañaremos a los enemigos del Consorcio para que envíen naves hacia los muelles controlados por Zann. Las tarifas que se habrían pagado por cruzar el sistema ingresarán en las arcas del Consorcio Zann. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo. 
MB_SPACE_PLANET_MANDALORE_PIRACY;Los habitantes del sistema Mandalore poseen una rica tradición de conquistas, por lo que han merecido la pena los créditos ganados por el Consorcio Zann mediante la piratería en su sistema con sus tácticas de acoso. 
MB_SPACE_PLANET_MANDALORE_PIRACY_PROLOGUE;La piratería va a ser especialmente peligrosa de organizar alrededor de Mandalore. Derrotar al estratega supremo de Mandalore demostrará a los mandalorianos que no tienen elección. Establecer la piratería en Mandalore será un gran paso para afianzar la posición del Consorcio Zann en la galaxia. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo. 
MB_SPACE_PLANET_MANDALORE_PIRACY_STORY;La piratería va a ser especialmente peligrosa de organizar alrededor de Mandalore. Tendré que hacerme cargo personalmente de la misión para triunfar ante los feroces habitantes de Mandalore y sus cazas espaciales. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo. 
MB_SPACE_PLANET_MONCALAMARI_PIRACY;Los mon calamari son famosos por sus cruceros estelares. Hemos de enfrentarnos a ellos para contrastar su poder real. Lideraré un equipo de asalto de reservistas para conseguir nuestro objetivo.  
MBEM02_An_Organized_Resistance.TED;El Emperador ha enviado a Darth Vader al planeta Thyferra para que localice al agente imperial que conspira junto a los rebeldes. Tras seguir la pista a unas transmisiones codificadas, Vader lleva a la superficie a una fuerza de asalto imperial y espera coger desprevenidos a los rebeldes y a su objetivo.  
MBEM03_The_Pirate_Menace.TED;Boba Fett ha recibido una sustanciosa suma para ayudar al Imperio. Estudiará las defensas de los piratas y neutralizará sus sistemas de alarma antes de que la flota principal llegue a la zona.  
MBEM04_Space_Planet_Geonosis.TED;El gran moff Tarkin ha ordenador a Darth Vader que se apodere de los recursos del planeta Geonosis. Para controlarlo por completo, tiene que hacerse con la superficie y el espacio circundante.  
MBEM05_Attack_on_Mon_Calamari.TED;El Emperador cree que los mon calamari, un pueblo que defiende tenazmente su independencia, acabará ayudando a la Rebelión si tienen ocasión. Hay que someter el planeta para evitar que se entrometan.  
MBEM06_Trouble_on_Kashyyyk.TED;Solo, un bribón impetuoso que desertó del Imperio hace un tiempo, ha liberado a los wookiees de sus cárceles. En su rebeldía irracional, intenta sacarlos del planeta. No podemos perder la mano de obra de Kashyyyk.
MBEM09_A_New_Weapon_of_War.TED;Dado que la construcción de la Estrella de la Muerte avanza según lo previsto, el Emperador se ha centrado en otras armas. El coronel Maximilian Veers va a hacer una demostración de una nueva arma de asalto terrestre: el AT-AT, un transporte blindado todoterreno. Se celebrará en Carida, que alberga un importante centro de entrenamiento imperial.  
MBEM13_Errand_with_the_Emperor.TED;El Emperador Palpatine cree que la Red Espía bothan es responsable de filtrar información imperial a la Rebelión. Por lo tanto, ha decidido encargarse de la situación personalmente.  
MBEM14_Capturing_a_Princess.TED;Los bothan han informado al Emperador del lugar en el que la princesa va a recibir las transmisiones relacionadas con la Estrella de la Muerte. Se ha enviado una pequeña flota a Tatooine para interceptarla, pero ha sufrido el ataque de fuerzas piratas ocultas. Darth Vader tiene que eliminar a los piratas antes de que la princesa llegue al sistema para que no huya.  
MBEM15_The_Destruction_of_Alderaan.TED;Es necesario hacer una demostración adecuada del poderío de la Estrella de la Muerte. Sin quererlo, la princesa Leia ha elegido el objetivo: Alderaan, su planeta natal.  
MBEXECUTIVE_TACTICAL_DEMO;Ubicado en el sector Moddell del Borde Exterior, este plateado gigante gaseoso cuenta con nueve lunas. El satélite mayor es del tamaño de un pequeño planeta y es conocido por el nombre de luna boscosa, o simplemente Endor. Está cubierto de sabanas, montañas y bosques de árboles gigantescos. En Endor viven un buen número de criaturas inteligentes, desde el salvaje y temible górax a los valientes ewoks. Los ewoks construyen sus aldeas en los árboles de Endor y las unen por medio de puentes colgantes, sogas y plataformas de madera. Los ewoks parecen inofensivos, pero son guerreros y cazadores astutos, capaces de sacar el máximo partido de su ingenio y del entorno natural.
MBEXECUTIVE_TACTICAL_DEMO1;En Naboo, un planeta templado en el sector Chommell del Borde Intermedio, abundan los pantanos, las llanuras y las verdes colinas. A diferencia de muchos otros planetas, Naboo carece de núcleo fundido y las entrañas del planeta se componen de una estructura en forma de panal lleno de agua. El planeta también alberga numerosas especies animales, y es hogar de los pacíficos naboo y los belicosos gungan. Los naboo suelen vivir en ciudades impresionantes como Theed, mientras que los gungan lo hacen en exóticas ciudades burbuja ocultas en lagos y pantanos. Tanto los naboo como los gungan se oponen al Emperador.
MBRM01_Space_Planet_Kuat.TED;Como no puede llegar directamente a Fresia, el capitán Antilles decide llevar a cabo un ataque simulado contra los astilleros imperiales de Kuat, una planta gigantesca en la que se construyen todo tipo de naves imperiales. Normalmente suelen estar fuertemente defendidos, pero la ceremonia de nacionalización de Incom ha provocado la marcha de la mayoría de su flota defensiva, con lo que los astilleros son vulnerables. Antilles espera causar los daños suficientes para alejar de Fresia al destructor estelar Tiranía y desproteger a su auténtico objetivo...
MBRM02_Interpreting_the_Network.TED;Sin desanimarse por el revés en sus planes para robar los ala X, la Alianza idea un plan para engañar a los sensores imperiales desplegados alrededor de Fresia. La base de la conexión a la red imperial de Wayland parece el punto ideal para robar códigos de los sensores imperiales, siempre R2-D2 consiga llegar hasta ella intacto. Tras piratear la red, la Alianza podrá eludir las defensas de Fresia sin que se entere el Imperio.
MBRM03_Theft_of_the_X-wing.TED;Como no quieren que los ala X caigan en manos del Imperio, algunos científicos de Incom han filtrado la posición de los prototipos a la Alianza. Con la nacionalización a unos días vista, la Alianza no puede perder un momento. Los imperiales aterrizarán enseguida en Fresia e incorporarán los ala X a sus fuerzas armadas. La Alianza es consciente de que no será una misión fácil. La base está fuertemente protegida y el Imperio no tardará en darse cuenta de lo que planea...
MBRM04_Kessel_Rescue;Las tristemente famosas minas de especia de Kessel son sentencias de muerte para los prisioneros que el Imperio destina allí. Tras enterarse de que van a trasladar a científicos de Incom y a otros partidarios rebeldes, la Alianza no pierde el tiempo en preparar el rescate antes de que los prisioneros lleguen a las minas. Gracias al ataque iónico de los ala Y, la Alianza puede desactivar a las lanzaderas para que, luego, el capitán Antilles, a bordo del Corazón Hendido, llegue y libere a los reclusos antes de que aterricen en Kessel.
MBRM06_Imperial_Liberation;Tras interceptar las comunicaciones relacionadas con un percance en Kashyyyk, la Alianza averigua que están atacando los centros de detención de los wookiees que ha establecido el Imperio. Los wookiees se están liberando y armando. La Alianza tiene que actuar para promover cualquier acción que sirva para liberar ciudadanos de las garras del Imperio.
MBRM07_Highest_Bidder;Relacionarse con los bajos fondos siempre resulta arriesgado, y en esta ocasión el destino de la Alianza está en juego. Un socio descontento de uno de los contactos de la Alianza ha robado datos esenciales de sus asuntos, y se los ha ofrecido al Imperio... a cambio de dinero.  
MBRM07A_Rescue_Falcon;En cuanto Han se aleja de la Alianza, vuelve a meterse en un lío con los imperiales. Atrapado en el rayo tractor de un destructor estelar mientras llevaba mercancías ilegales a Corulag, es cuestión de tiempo que sus motores se consuman y el Imperio aborde la nave. La Alianza quiere rescatarlo enseguida para que lleve a cabo una misión ideal para un contrabandista...
MBRM08A_Cargo_Woes;Por lo general, Han Solo se dedicaría a robar en los almacenes, no a meter cosas en ellos. Esta zona de estacionamiento reabastece a flotas de todo el sector y tiene mucho tráfico. Pasan por ella más naves imperiales en un día que en la mayoría de los sistemas en un año. Alrededor de la planta flotan contenedores destinados a diversos sistemas y son blancos fáciles para los que saben eludir los sistemas de seguridad. La Alianza espera que Han sea uno de ellos.  
MBRM09_Borrowed_Time;Tras seguir el rastro de la información de esta nueva superarma imperial, la Alianza ha averiguado que puede haber más datos en uno de los centros de investigación del gran moff Tarkin. El contenedor donde Han Solo colocó el dispositivo IEM ha llegado a su destino, y la Alianza está movilizando a la flota y se prepara para asaltar el centro. Poco antes de entrar en el sistema, la Alianza va a detonar el dispositivo IEM acoplado al contenedor. Esperamos que esto nos dé tiempo para registrar el centro antes de que responda la flota imperial...
MBRM09_Lost_and_Found;Han Solo y Chewbacca van a realizar otra misión peligrosa para la Alianza. En esta ocasión, tienen que infiltrarse en una ciudad imperial muy fortificada... a pie. Su objetivo son los planos que había robado el Imperio. Su recuperación podría ser lo que necesita la Alianza para que los mon calamari vuelvan a la lucha. Han y Chewie tienen que colaborar para recorrer la ciudad, evitar o neutralizar a los imperiales que se encuentren y llegar al muelle de suministros, donde podrán recuperar los planos y robar una nave para salir del planeta.
MBTM00_Galactic;Introducción al modo galáctico
MBTM00_GALACTIC;Introducción al modo galáctico
MBTM01_Gaining_Ground;Un pelotón de infantería rebelde tiene que localizar a una patrulla perdida que estaba realizando una exploración rutinaria del perímetro.
MBTM01_GAINING_GROUND;Un pelotón de infantería rebelde tiene que localizar a una patrulla perdida que estaba realizando una exploración rutinaria del perímetro.
MBTM02_Scramble;Tras evitar el ataque imperial sobre Kashyyyk, la Alianza Rebelde tiene que afianzar su posición en varios planetas cercanos.
MBTM02_SCRAMBLE;Tras evitar el ataque imperial sobre Kashyyyk, la Alianza Rebelde tiene que afianzar su posición en varios planetas cercanos.
MBTM03_Empire_at_War;Tras ser derrotado en la superficie de Kashyyyk, un oficial imperial intenta descubrir el origen de este nuevo movimiento resistente.
MBTM03_EMPIRE_AT_WAR;Tras ser derrotado en la superficie de Kashyyyk, un oficial imperial intenta descubrir el origen de este nuevo movimiento resistente.
MBTM04_Imperial_Noose;Tras el éxito en la eliminación de la estación espacial rebelde de Kashyyyk, un oficial imperial intenta acabar con los demás rebeldes que amenazan su posición.
MBTM04_IMPERIAL_NOOSE;Tras el éxito en la eliminación de la estación espacial rebelde de Kashyyyk, un oficial imperial intenta acabar con los demás rebeldes que amenazan su posición.
MBTM05_Imperial_Policy;Las fuerzas imperiales han localizado una base rebelde en Ryloth y se disponen a lanzar un ataque a gran escala sobre la posición rebelde.  
MBTM05_IMPERIAL_POLICY;Las fuerzas imperiales han localizado una base rebelde en Ryloth y se disponen a lanzar un ataque a gran escala sobre la posición rebelde.  
MBTM06_LAND_MULTIPLAYER;Explica las técnicas básicas de juego en los modos de escaramuzas terrestres.
MBTM07_SPACE_MULTIPLAYER;Explica las técnicas básicas de juego en los modos de escaramuzas espaciales.
MBUM01_A_CRIMELORD_UNLEASHED;Jabba usó sus contactos en el imperio para mandarme a la cárcel. Dentro he tenido tiempo suficiente para hacerme con el control de las bandas, pero eso ha supuesto que mi propio Consorcio Zann haya sido destruido fuera de estos muros. He ordenado a mi teniente, Urai Fen, que consiga una nave rápida. Ahora está a tres días de aquí. Pienso escapar y vengarme de Jabba y del Imperio.
MBUM02_REMNANTS_OF_THE_DEATH_STAR;Parece que los rebeldes volaron la Estrella de la Muerte del Emperador mientras yo estaba ocupado con mis asuntos en otra parte de la galaxia. Por suerte para mí, el cadáver aún sigue fresco y los recuperadores aún tienen que cobrarse su botín. Si la tripulación expulsó las cápsulas de datos, y consigo recuperarlas antes que los rebeldes, quizá contengan información sobre las cámaras ocultas del Emperador.
MBUM03_COMMUNICATIONS_BREAKDOWN;Jabba el hutt halló la forma de acceder al sistema de comunicaciones de Tyber. Por suerte, los técnicos lograron seguir la señal hasta una estación repetidora en Saleucami. Hay que darle una lección a Jabba. Usaré mi equipo de asalto para establecer una posición avanzada y así nuestras tropas terrestres podrán arrebatarle Saleucami.
MBUM04_VISIONS_OF_THE_PAST;Jabba ha descubierto una vieja fábrica de la era de las Guerras Clon construida por los geonosianos que nunca fue encontrada por la antigua República. Si puedo llegar allí primero, quitaré un buen botín a Jabba y conseguiré una gran potencia de fuego. Urai ha salido primero para explorar la zona mientras yo agrupo refuerzos. ¿Qué podría salir mal?
MBUM06_DARK_ALLY;He llegado a Dathomir para buscar a alguien capaz de manipular el lado oscuro para que abra el artefacto sith. Me sorprende que el planeta esté bajo el férreo control del Imperio. Parece que alberga bastantes secretos que el mismo Emperador quiere mantener ocultos. Será interesante ver qué encontramos Urai y yo...
MBUM07_CLOUD_CITY_CONFLICT;Darth Vader dirige las tropas en Bespin. Espero poder dejar pistas en el robo del gas que hagan creer al Imperio que el príncipe Xizor del Sol Negro es el responsable. Con ese gas podría construir algunas naves. También es vital para mi plan que IG-88 acceda al sistema...
MBUM08_REBEL_EVICTION;Tengo que establecer unas nuevas instalaciones de producción en los asteroides Vergesso, pero los rebeldes ya se han establecido en la zona. La Rebelión se asusta con facilidad nada más ver la sombra del Imperio, así que he enviado a Urai en unas naves imperiales robadas para que se encargue de ellos. Yo me quedo con el territorio y culpo al Imperio para evitar cualquier represalia... ¡un plan perfecto!
MBUM09_BAITING_THE_HOOK;Según mis planes, me reuniré con el contacto imperial en Carida para, supuestamente, venderle el artefacto sith. Siempre me espero cualquier tipo de jugarreta cuando me reúno con alguien. Después de todo, es lo que yo haría. Pero cuando eres consciente de que vas de cabeza a una trampa, siempre puedes usarlo en tu beneficio.
MBUM11_RAIDERS_OF_THE_LOST_HOLOCRON;Urai, Silri y yo estamos asaltando el archivo imperial en Coruscant. Voy a conseguir la clave personal del Emperador. Estoy seguro de que Silri será un problema, pero por ahora la vigilaré de cerca y me aseguraré de que me obedece.
MBUM12_THE_EMPERORS_NEW_WEAPON;La clave de acceso del Emperador es la llave que abre mi premio, las cámaras acorazadas del emperador y suficientes riquezas como para controlar los bajos fondos criminales de la galaxia. Todo lo que tengo que hacer es abrirme paso combatiendo a las naves imperiales que quedan y deshacerme de las fuerzas rebeldes que vengan a investigar.
MN_MP_LAND_ALDERAAN;Alderaan
MN_MP_LAND_BESPIN;Bespin
MN_MP_LAND_BOTHAWUI;Bothawui
MN_MP_LAND_CORELLIA;Corellia
MN_MP_LAND_CORUSCANT;Coruscant
MN_MP_LAND_DAGOBAH;Dagobah
MN_MP_LAND_DANTOOINE;Dantooine
MN_MP_LAND_DATHOMIR;Dathomir
MN_MP_LAND_ENDOR;Endor
MN_MP_LAND_FELUCIA;Felucia
MN_MP_LAND_FONDOR;Fondor
MN_MP_LAND_GEONOSIS;Geonosis
MN_MP_LAND_HONOGHR;Honoghr
MN_MP_LAND_HOTH;Hoth
MN_MP_LAND_HYPORI;Hypori
MN_MP_LAND_KAMINO;Kamino
MN_MP_LAND_KASHYYYK;Kashyyyk
MN_MP_LAND_KESSEL;Kessel
MN_MP_LAND_MANDALORE;Mandalore
MN_MP_LAND_MYRKR;Myrkr
MN_MP_LAND_NABOO;Naboo
MN_MP_LAND_POLUS;Polus
MN_MP_LAND_RYLOTH;Ryloth
MN_MP_LAND_SALEUCAMI;Saleucami
MN_MP_LAND_SHOLA;Shola
MN_MP_LAND_TATOOINE;Tatooine
MN_MP_LAND_UTAPAU;Utapau
MN_MP_LAND_YAVIN;Yavin
MN_MP_SPACE_ALDERAAN;Alderaan
MN_MP_SPACE_BESPIN;Bespin
MN_MP_SPACE_BOTHAWUI;Bothawui
MN_MP_SPACE_CORUSCANT;Coruscant
MN_MP_SPACE_DAGOBAH;Dagobah
MN_MP_SPACE_DATHOMIR;Dathomir
MN_MP_SPACE_ENDOR;Endor
MN_MP_SPACE_FELUCIA;Felucia
MN_MP_SPACE_GEONOSIS;Geonosis
MN_MP_SPACE_HOTH;Hoth
MN_MP_SPACE_HYPORI;Hypori
MN_MP_SPACE_KAMINO;Kamino
MN_MP_SPACE_KASHYYYK;Kashyyyk
MN_MP_SPACE_KESSEL;Kessel
MN_MP_SPACE_KUAT;Kuat
MN_MP_SPACE_NABOO;Naboo
MN_MP_SPACE_POLUS;Polus
MN_MP_SPACE_RYLOTH;Ryloth
MN_MP_SPACE_SALEUCAMI;Saleucami
MN_MP_SPACE_SHOLA;Shola
MN_MP_SPACE_TATOOINE;Tatooine
MN_MP_SPACE_THEMAW;La Boca
MN_MP_SPACE_UTAPAU;Utapau
MN_MP_SPACE_YAVIN;Yavin
MNDEMO_ATTRACT_GEONOSIS;Geonosis
MNDEMO_ATTRACT_KAMINO;Kamino
MNDEMO_ATTRACT_KORRIBAN;Korriban
MNDEMO_ATTRACT_LAND_CORELLIA;Corellia
MNDEMO_ATTRACT_LAND_CORELLIA_E;Corellia
MNDEMO_ATTRACT_LAND_CORELLIA_R;Corellia
MNE3_DEMO_LAND;Felucia
MNE3_DEMO_SPACE;Kamino
MP_TEXT_ENCYCLOPEDIA_ARMS_DEPOT_UNDERWORLD_PAD_00;Haz clic para construir un depósito de armas del Consorcio Zann
MP_TEXT_ENCYCLOPEDIA_ASTEROID_MINING_FACILITY_00;Los mineros de los asteroides extraen minerales y metales preciosos de las rocas espaciales y las convierten en dinero.
MP_TEXT_ENCYCLOPEDIA_ASTEROID_MINING_FACILITY_01;Mejoras: suministros mejorados.
MP_TEXT_ENCYCLOPEDIA_ASTEROID_MINING_FACILITY_PAD_00;Haz clic para construir una explotación minera en un asteroide.
MP_TEXT_ENCYCLOPEDIA_ASTEROID_MINING_FACILITY_PAD_01;Cuando están operativos, los mineros de los asteroides extraen minerales y metales preciosos de las rocas espaciales y las convierten en dinero.
MP_TEXT_ENCYCLOPEDIA_BARRACKS_EMPIRE_00;Unidades alistadas: soldado de asalto, soldado explorador y comandante de campo.
MP_TEXT_ENCYCLOPEDIA_BARRACKS_EMPIRE_01;Mejoras: adiestramiento de supervivencia, aumento en la movilidad.
MP_TEXT_ENCYCLOPEDIA_BARRACKS_PAD_EMPIRE_00;Haz clic para construir barracones imperiales.
MP_TEXT_ENCYCLOPEDIA_BARRACKS_PAD_REBEL_00;Haz clic para construir barracones rebeldes.
MP_TEXT_ENCYCLOPEDIA_BARRACKS_PAD_UNDERWORLD_00;Haz clic para construir un puesto avanzado mercenario del Consorcio Zann
MP_TEXT_ENCYCLOPEDIA_BARRACKS_REBEL_00;Unidades alistadas: soldado rebelde, soldado con lanzamisiles plex, comandante de campo e infiltrado.
MP_TEXT_ENCYCLOPEDIA_BARRACKS_REBEL_01;Mejoras: blindaje de combate, adiestramiento de supervivencia.
MP_TEXT_ENCYCLOPEDIA_BASE_SHIELD_EMPIRE_00;Haz clic para construir un escudo para la base imperial.
MP_TEXT_ENCYCLOPEDIA_BASE_SHIELD_REBEL_00;Haz clic para construir un escudo para la base rebelde.
MP_TEXT_ENCYCLOPEDIA_CANTINA_00;Proporciona unidades únicas con descuento.
MP_TEXT_ENCYCLOPEDIA_CANTINA_01;Unidades: andadores ligeros, esquife pirata y deslizadores de los pantanos.
