MN_MP_SPACE_REACH;Batalla sobre Reach
MP_HALO_RED;Fuera de la vida
MP_TEXT_ENCYCLOPEDIA_DEFENSE_SAT_TORPEDO_COVN;Plataforma de ataque armada con 4 Tubos de Torpedos de Plasma diseñada para ataques devastadores contra naves enemigas.
TEXT_ARTIFACT_DIG_UP;Equipo de extracción de artefactos
TEXT_ARTIFACT_DIG_UP_ENC;Extrae un Artefacto Forerunnenr en una Fragata clase CRS en el planeta en que se encuentra. Debe transportarse a un planeta con la tecnología de investigación adecuada.
TEXT_ARTIFACT_RESEARCH;Investigación de Artefacto Forerunner
TEXT_ARTIFACT_RESEARCH_ENC;Investiga el artefacto Forerunner almacenado en la nave de los equipos de excavación y, cuando lo hace, lo añade al recuento de artefactos que se muestra en la pantalla de investigación de artefactos.
TEXT_ASTEROID_MINING_FACILITY_DELTE;Eliminar instalación minera
TEXT_BANSHEE_SQUADRON;Escuadrón de Patrón-Elsedda Banshee
TEXT_BASELARD_SQUADRON;Escuadrón Baselard
TEXT_BROADSWORD_SQUADRON;Escuadrón Broadsword
TEXT_CAMPAIGN_HALO;Aún no se admite GC.
TEXT_CAMPAIGN_HALO_DESP;Lo intentaste, GC está en proceso :). Vuelve más tarde, probablemente sea la versión 1.0
TEXT_CERASTES_SQUADRON;Escuadrón de bombarderos Cerastes
TEXT_COV_CAS;Supercarguero de clase CAS
TEXT_ECONOMY_FARM_UPKEEP;Mantenimiento de granjas
TEXT_ECONOMY_RESEARCH_COST;Costo de mantenimiento de la investigación
TEXT_ENCYCLOPEDIA_CLASS_ARMORED_CRUISER;Clase: Crucero blindado
TEXT_ENCYCLOPEDIA_CLASS_ARTIFACT_ACTION;Acción de artefacto
TEXT_ENCYCLOPEDIA_CLASS_ASSAULT_CARRIER;Clase: Cargueros de Asalto
TEXT_ENCYCLOPEDIA_CLASS_BATTLECRUISER;Clase Crucero de Batalla
TEXT_ENCYCLOPEDIA_CLASS_CARRIER;Clase: Carguero
TEXT_ENCYCLOPEDIA_CLASS_COLONY;Clase: Nave Colonial
TEXT_ENCYCLOPEDIA_CLASS_CRUISER;Clase: Crucero
TEXT_ENCYCLOPEDIA_CLASS_DESTROYER;Clase: Destructor
TEXT_ENCYCLOPEDIA_CLASS_HEAVY_CARRIER;Clase: Cargueros Pesado
TEXT_ENCYCLOPEDIA_CLASS_HEAVY_CORVETTE;Clase: Corbeta pesada
TEXT_ENCYCLOPEDIA_CLASS_HEAVY_CRUISER;Clase: Crucero Pesado
TEXT_ENCYCLOPEDIA_CLASS_HEAVY_DESTROYER;Clase: Destructor Pesado
TEXT_ENCYCLOPEDIA_CLASS_HEAVY_FRIGATE;Clase: Fragata Pesada
TEXT_ENCYCLOPEDIA_CLASS_LIGHT_BATTLESHIP;Clase: Acorazado Ligero
TEXT_ENCYCLOPEDIA_CLASS_LIGHT_CORVETTE;Clase: Corbeta Ligera
TEXT_ENCYCLOPEDIA_CLASS_LIGHT_CRUISER;Clase: Crucero Ligero
TEXT_ENCYCLOPEDIA_CLASS_LIGHT_DESTROYER;Clase: Destructor Ligero
TEXT_ENCYCLOPEDIA_CLASS_LIGHT_FRIGATE;Clase: Fragata Ligera
TEXT_ENCYCLOPEDIA_CLASS_PUSSY;
TEXT_ENCYCLOPEDIA_CLASS_RESEARCH_STRUCTURE;Clase: Estructura de la investigación
TEXT_ENCYCLOPEDIA_CLASS_SUPER_CARRIER;Clase: Supercargueros
TEXT_ENCYCLOPEDIA_COVN_COMMANDER;Maestro de flota
TEXT_ENCYCLOPEDIA_UNSC_COMMANDER;Unidad de mando de alto rango
TEXT_ENCYCLOPEDIA_UNSC_TECH_02;Desbloquea: Cargueros Poseidón, Caza Sabre, Bombardero Longsword, Corbeta Gladius, Nave Capital Halcyon y Fragata París.
TEXT_ENCYCLOPEDIA_UNSC_TECH_03;Desbloquea el Destructor Iroqouis, el Destructor Halberd, el Carguero Musashi y la Investigación de Tecnología de Escudo.
TEXT_ENCYCLOPEDIA_UNSC_TECH_04;Desbloquea la Nave Captial Marathon, Pillar of Autumn, y un requerimiento para el Caza Broadsword, y la Fragata Strident.
TEXT_ENCYCLOPEDIA_UNSC_TECH_05;Desbloquea la Super Capital Infinity, el Destructor Capital Vindication y la Nave Capital Autumn.
TEXT_EXPL_AI_HEROIC;IA Heroica: Dificultad Media, no se rendirá sin luchar, favorece a los Cazas y Capitales con un ingreso normal. Tiene ligeramente más posibilidades de abordaje.
TEXT_EXPL_AI_LEGENDARY;IA Legendaria: Sólo los mejores jugadores pueden derrotarla, no elige favoritos, tiene unos ingresos realmente rápidos y enviará spam a cualquier nave de nivel que tenga en sus manos. Tiene más posibilidades cuando aborda naves.
TEXT_EXPL_AI_NORMAL;IA Normal, Es la más fácil de enfrentar, favorece a las fragatas con bajos ingresos. Tiene algo menos de posibilidades de abordaje al Jugador.
TEXT_EXPL_AI_SEC;Dificultad AI:
TEXT_EXPL_BOARDING;Este mod viene con el abordaje que sólo está disponible para las naves de la flota Covenant que son del tamaño de una fragata o más pequeñas, el abordaje funciona por posibilidades, cuando la habilidad se utiliza en un objetivo, hay un 50% de posibilidades de que el abordaje se inicie, cuando una nave es abordada recibirá un 10% de su salud en daño cada 3 segundos, después de 15 segundos 2 cosas pueden suceder, el abordaje puede detenerse que es una probabilidad del 45% o la nave será tomada, que es una probabilidad del 5%. La habilidad de abordaje sólo puede usarse 3 veces.
TEXT_EXPL_BOARDING_SEC;Mecánico de abordaje:
TEXT_EXPL_WELCOME;Bienvenido a la Página que Explica: ¡Nuevas Mecánicas y cómo funciona la IA!
TEXT_FACTION_INSURRECTIONISTS;Insurreccionistas
TEXT_FACTION_SWORDS;Desterrado
TEXT_HALO_ARCHER_PLATFORM;Plataforma Cápsula Archer
TEXT_HALO_ARCHER_PLATFORM_ENC;Plataforma pequeña que dispara cápsulas Archer de nivel medio, cazas de daño ligero a medio contra corbetas y fragatas.
TEXT_HALO_CAMPAIGN_EVOLVED;Combat Evolved
TEXT_HALO_CAMPAIGN_EVOLVED_ENC;Campaña Estándar \n Juega como Covenant o U.N.S.C y completa tu dominación a través del Universo Halo \n 50 Planetas \n Sin Opciones
TEXT_HALO_CAMPAIGN_RANDOM;Campaña de Comienzo aleatorio
TEXT_HALO_CAMPAIGN_RANDOM_ENC;Comienzo aleatorio \n Juega como el Covenant o la U.N.S.C, ambos comienzan con 1 planeta \n Contiene las Subfacciones Insurrectos y Espada de Sanghelios
TEXT_HALO_ECONOMY_UPKEEP_95;Mantenimiento: 95 Cr/Día
TEXT_HALO_FARM_ENC;Proporciona alimentos a los ciudadanos del planeta, sin ellos, pueden llegar a ser infelices.
TEXT_HALO_FARM_ENC_DELETE;Deconstruir la granja sobre el planeta
TEXT_HALO_HWD;Investigación sobre el desarrollo de armas pesadas
TEXT_HALO_HWD_ENC;La investigación del desarrollo de armamento pesado permite la construcción de naves tipo ORS, CPV y CAS, y continúa el progreso hacia la construcción del supercargueros CSO.
TEXT_HALO_MK33_PLATFORM;Plataforma de defensa MK33
TEXT_HALO_MK33_PLATFORM_ENC;La plataforma de defensa MK33 es una plataforma pequeña y ligera diseñada para defenderse de naves más ligeras como cazas, corbetas y fragatas. No es resistente, pero tiene potencia de fuego.
TEXT_HALO_PLASMA_PLATFORM;Plataforma de plasma Covenant
TEXT_HALO_PLASMA_PLATFORM_ENC;La Plataforma de Plasma dispara una Ráfaga Rápida de Plasma a cualquier objetivo situado a una distancia media.
